;target;text;chars;word_count;hash_count;punctuation_count;punctuation;uppercase
0;neutral; id have responded if i were going;36;7;0;2;['`', ','];2
1;negative; sooo sad i will miss you here in san diego;46;10;0;3;['!', '!', '!'];7
2;negative;my boss is bullying me;25;5;0;3;['.', '.', '.'];0
3;negative; what interview leave me alone;31;5;0;1;['!'];0
4;negative; sons of why couldnt they put them on the releases we already bought;75;14;0;2;[',', '`'];1
5;neutral; some shameless plugging for the best rangers forum on earth;92;12;0;1;['-'];1
6;positive;am feedings for the baby are fun when he is all smiles and coos;64;14;0;0;[];0
7;neutral;soooo high;10;2;0;0;[];1
8;neutral; both of you;12;3;0;0;[];1
9;positive; journey wow u just became cooler hehe is that possible;69;10;0;13;['!', '?', '.', '.', '.', '.', '.', '.', '.', '(', '!', '?', ')'];2
10;neutral; as much as i love to be hopeful i reckon the chances are minimal p im never gonna get my cake and stuff;107;23;0;2;[',', '`'];1
11;positive;i really really like the song love story by taylor swift;56;11;0;0;[];5
12;negative;my sharpie is running dangerously low on ink;44;8;0;0;[];8
13;negative;i want to go to music tonight but i lost my voice;50;12;0;1;['.'];0
14;neutral;test test from the lg env;26;6;0;0;[];3
15;negative;uh oh i am sunburned;21;5;0;1;[','];2
16;negative; sok trying to plot alternatives as we speak sigh;53;9;0;2;['`', ','];1
17;negative;ive been sick for the past few days and thus my hair looks wierd if i didnt have a hat on it would look ;137;25;0;6;['`', ',', '.', '.', '.', '.'];0
18;negative;is back home now gonna miss every one;42;8;0;0;[];0
19;neutral;hes just not that into you;26;6;0;0;[];1
20;neutral; oh marly im so sorry i hope you find her soon ;59;13;0;6;[',', '`', '!', '!', '!', '!'];3
21;positive;playing ghost online is really interesting the new updates are kirin pet and metamorph for third job cant wait to have a dragon pet;135;24;0;3;['.', '.', '`'];7
22;neutral;is cleaning the house for her family who is comming later today;65;12;0;2;['.', '.'];0
23;neutral;gotta restart my computer i thought win was supposed to put an end to the constant rebootiness;98;18;0;2;['.', '.'];2
24;neutral;see wat i mean bout follw friidays its called lose fllowers friday smh;79;13;0;7;['.', '.', '.', '`', '.', '.', '.'];26
25;positive;the free fillin app on my ipod is fun im addicted;51;11;0;2;['`', ','];0
26;negative; im sorry;12;2;0;2;['`', '.'];1
27;negative;on the way to malaysiano internet access to twit;51;9;0;3;['.', '.', '.'];3
28;positive;juss came backk from berkeleyy omg its madd fun out there havent been out there in a minute whassqoodd ;109;22;0;3;"[';', '.', '?']";1
29;negative;went to sleep and there is a power cut in noida power back up not working too;78;17;0;0;[];3
30;positive;im going home now have you seen my new twitter design quiteheavenly isn;84;13;0;9;['`', '.', '?', '.', '.', '.', '.', '`', '?'];3
31;positive;i hope unni will make the audition fighting dahye unni ;58;12;0;2;['.', '!'];0
32;negative; if it is any consolation i got my bmi tested hahaha it says i am obesed well so much for being unhappy for about minutes;126;26;0;1;['.'];6
33;positive; thats very funny cute kids;31;5;0;3;['`', '.', '.'];2
34;neutral; ahhh i slept through the game im gonna try my best to watch tomorrow though i hope we play army;102;20;0;5;[',', '.', '`', '.', '.'];5
35;neutral;thats it its the end tears for fears vs eric prydz dj hero ;84;14;0;3;[',', '.', ','];8
36;negative;born and raised in nyc and living in texas for the past years i still miss ny;82;18;0;1;['!'];8
37;neutral;just in case you wonder we are really busy today and this coming with with adding tons of new blogs and updates stay tuned;123;24;0;1;[','];0
38;negative;im soooooo sleeeeepy the last day o school was todaysniffle;72;10;0;13;['`', '!', '!', '!', '`', '.', '.', '.', '.', '.', '.', '.', '.'];0
39;positive;a little happy for the wine jeje ok itsm my free time so who cares jaja i love this day;89;20;0;2;['`', ','];1
40;neutral; car not happy big big dent in boot hoping theyre not going to write it off crossing fingers and waiting;107;20;0;3;[',', '!', ','];2
41;positive;im an avid fan of magazine and i love your magazines;57;12;0;0;[];0
42;neutral;mayday;8;1;0;2;['?', '!'];6
43;neutral;ratt rocked nashville toniteone thing sucked no encore like in the s they still have a fun show pearcy has that hott bad boy look;138;25;0;6;['.', '.', ',', '!', '`', '.'];105
44;positive; i love to but im only available from pm and where dear would love to help convert her vids;102;19;0;5;['!', '`', '.', '?', '.'];4
45;neutral;the girl in the hair salon asked me shall i trim your eyebrows how old do i feel;84;18;0;4;"[""'"", '!', ""'"", '?']";5
46;negative;egh blah and boooooooooooo i dunno wanna go to work hangovers suckkkkkk im a drunk mess;89;16;0;1;['!'];19
47;neutral;visiting my friendster and facebook;36;5;0;1;[':'];0
48;negative;i donbt like to peel prawns i also dont like going shopping running out of money and crawling round the car looking for more;126;24;0;2;[',', ','];0
49;negative; which case i got a new one last week and im not thrilled at all with mine;77;17;0;3;['?', '`', '.'];2
50;neutral; then you should check out and connect with other tweeple who hate twitter;98;14;0;0;[];1
51;neutral; also bored at school its my third freelesson freistunde ;60;10;0;3;[',', '(', ')'];0
52;neutral; hm both of us i guess;28;6;0;6;['.', '.', '.', '.', '.', '.'];2
53;negative; it is u have dissappointed me that past few days;56;10;0;3;['.', '.', '.'];0
54;positive; romance zero is funny;22;4;0;0;[];0
55;neutral; id rather do the early runbut i am a morning runner;55;11;0;3;['`', '.', '.'];2
56;negative;bah a coworker ran into work late and her bag smacked into my knee it really hurts now;87;18;0;0;[];1
57;neutral;will be back later ;45;5;0;1;['.'];0
58;negative;aw torn ace of hearts ;34;6;1;1;['.'];2
59;neutral; what fun are you speaking of;30;6;0;1;['?'];0
60;negative;i lost all my friends im alone and sleepyi wanna go home;60;12;0;4;[',', '`', '.', '.'];0
61;neutral; haha yes;9;2;0;0;[];0
62;negative;i give in to easily;19;5;0;0;[];1
63;positive;what better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine our wine was a red;135;30;0;1;['?'];2
64;negative;mannnn got an iphone im jealous ;66;8;0;12;['.', '.', '.', '.', '.', '!', '!', '!', '.', '.', '.', '.'];0
65;neutral;is at a photoshoot;19;4;0;1;['.'];1
66;positive; hes awesome have you worked with him before hes a good friend;70;12;0;7;['`', '.', '.', '.', '?', '`', '.'];3
67;neutral;yay playing a show tonight boo its gonna soggy and im at work right before playing;85;16;0;3;['!', '`', '`'];3
68;positive;chilliin;8;1;0;0;[];1
69;neutral; if you know such agent do let me know;39;9;0;1;[','];1
70;neutral;i still smell of smoke ;36;6;1;0;[];1
71;positive; a celticslakers rematch sounds better dont you think lol;60;9;0;3;['-', '`', '?'];0
72;neutral;anyone have an extra keane ticket i promise to buy you a drink and take rad pics for your fb blog flickr etc;115;25;0;5;['?', '/', '/', '.', ','];7
73;neutral;you can ride one you can catch one but its not summer til you pop open one ;81;18;0;5;"[""'"", ',', ',', ""'"", '?']";0
74;neutral; she is good so gorjuz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no;120;27;0;2;['!', '-'];0
75;neutral;ok im out of here for now just popped in to say hi and check on things ill probably head to the guttah later on tonight;125;27;0;5;['-', '`', '.', '.', '`'];6
76;negative;wow i am really missin the family today baddd;50;9;0;5;[',', '(', ')', '.', '.'];33
77;neutral; my sources say no;18;4;0;0;[];1
78;negative;i am sooo tired;15;4;0;0;[];1
79;neutral; hey you change your twitter account and you didnt even tell me;69;12;0;6;[',', ',', '`', '.', '.', '.'];1
80;positive; thank yyyyyyyyyoooooooooouuuuu;32;2;0;1;['!'];29
81;positive; lucky kidi so wanna see loserville pity im in oz;57;10;0;7;['.', '.', '.', '.', '.', '.', '.'];0
82;neutral;fell asleep waiting for my ride;32;6;0;1;['!'];0
